CallTimestamp,Call Type,EmployeeID,CallDuration,WaitTime,CallAbandoned
5/4/2018 16:33,3,U559430,486,2,0
6/21/2018 18:28,3,A166733,945,0,0
6/21/2018 15:13,1,B971624,379,11,0
11/21/2018 13:02,3,U641256,1044,0,0
2/25/2018 13:36,1,P286634,1357,0,0
10/28/2018 10:04,3,M855788,570,23,0
12/17/2018 16:39,3,M794992,26,26,0
7/28/2018 19:09,2,I281837,8,8,0
11/6/2018 18:57,1,J192194,800,0,0
6/18/2018 15:32,2,F542348,651,111,0
5/14/2018 16:24,2,J632516,229,10,0
6/2/2018 12:57,3,U194381,467,23,0
6/20/2018 12:01,3,G586239,1290,7,0
12/20/2018 16:27,3,N772493,504,0,0
12/15/2018 16:23,3,J632516,1445,28,0
3/4/2018 15:34,2,K669566,1255,2,0
12/23/2018 14:03,3,E137708,1069,5,0
4/17/2018 8:00,3,M855788,758,0,0
2/11/2018 8:39,2,E778362,838,0,0
11/22/2018 14:44,3,N119221,681,10,0
8/4/2018 11:51,2,V228277,1272,42,0
7/11/2018 14:34,3,T398672,252,0,0
11/24/2018 11:48,3,Q921541,84,271,0
3/22/2018 11:37,2,E243130,229,132,0
1/25/2018 17:00,1,U641256,432,6,0
11/21/2018 16:39,2,X409223,631,23,0
10/10/2018 11:55,3,I281837,1226,9,0
10/5/2018 16:01,3,D411745,1016,0,0
10/10/2018 12:07,3,K222775,1436,18,0
10/5/2018 8:55,2,U559430,804,208,0
6/12/2018 17:15,2,K418200,835,19,0
10/26/2018 18:40,3,N772493,63,14,0
11/17/2018 8:32,2,A166733,90,0,0
11/16/2018 19:44,2,C206355,602,151,0
1/21/2018 14:54,1,E137708,724,21,0
12/19/2018 12:04,3,B651033,762,27,0
3/12/2018 8:49,2,V828034,1218,0,0
10/21/2018 15:41,3,L736768,54,2,0
2/19/2018 19:29,3,S704443,778,14,0
3/13/2018 19:13,3,D411745,808,244,0
9/30/2018 18:52,3,K222775,488,11,0
11/26/2018 16:42,2,F533051,1047,0,0
11/13/2018 13:27,3,I543040,326,0,0
3/7/2018 10:30,2,V732706,75,0,0
4/25/2018 11:07,2,I281837,976,0,0
6/18/2018 19:28,3,G586239,113,0,0
7/28/2018 13:10,3,P286634,35,4,1
7/8/2018 14:43,3,Q921541,335,4,0
10/1/2018 14:47,2,A166733,855,28,0
5/6/2018 10:04,3,T387561,1496,0,0
1/8/2018 9:46,2,N772493,198,9,0
11/14/2018 8:13,1,T398672,534,0,0
8/4/2018 17:58,1,E988252,90,286,0
1/12/2018 14:01,1,J173690,982,30,0
1/16/2018 11:48,3,T398672,795,0,0
6/21/2018 10:19,3,E137708,693,0,0
5/14/2018 14:25,3,T664783,742,0,0
6/18/2018 10:49,1,I992869,48,163,0
6/2/2018 17:24,3,V228277,352,0,0
10/6/2018 19:14,3,N620104,515,28,0
2/4/2018 17:22,3,V126561,138,0,0
4/30/2018 11:15,2,Q921541,785,0,0
8/7/2018 11:58,2,X991580,1377,0,0
5/16/2018 11:10,3,J632516,1046,26,0
2/26/2018 8:47,2,X991580,871,0,0
9/29/2018 8:55,2,S274120,241,0,0
5/18/2018 16:48,3,V126561,1492,0,0
7/22/2018 17:16,3,B861430,21,19,1
9/1/2018 9:43,3,K418200,1325,30,0
10/31/2018 9:39,2,D411745,985,1,0
6/10/2018 8:57,3,N620104,700,0,0
11/30/2018 18:58,2,C206355,1436,6,0
4/20/2018 11:17,2,X409223,15,13,0
1/20/2018 17:32,3,B971624,985,29,0
7/6/2018 13:18,3,A166733,1195,0,0
10/25/2018 8:22,1,T664783,1498,15,0
8/17/2018 16:40,1,S274120,1331,259,0
10/13/2018 13:27,3,B651033,397,13,0
5/25/2018 10:39,3,O856292,1281,1,0
1/5/2018 8:27,3,T398672,632,0,0
8/16/2018 13:36,3,U194381,309,8,0
10/3/2018 16:39,3,O362956,486,33,0
7/10/2018 17:13,3,J192194,1032,27,0
10/25/2018 12:19,3,J549755,386,20,0
3/22/2018 10:28,3,V828034,1356,0,0
8/27/2018 11:45,3,U194381,951,13,0
11/23/2018 8:53,3,G586239,953,12,0
3/29/2018 16:15,3,E778362,314,24,0
11/26/2018 12:26,3,T398672,919,0,0
8/22/2018 9:33,3,E137708,1003,0,0
3/14/2018 18:52,2,E988252,28,44,0
11/21/2018 11:21,1,Q921541,250,11,0
8/29/2018 19:42,3,D774655,775,21,0
4/10/2018 19:03,3,N119221,516,21,0
2/12/2018 10:38,3,M163408,489,7,0
7/27/2018 15:40,3,O362956,740,118,1
10/1/2018 12:06,1,X825147,112,11,0
8/29/2018 15:37,2,X409223,1023,0,0
4/30/2018 13:13,3,E137708,827,2,0
5/27/2018 15:52,3,X991580,194,0,0
